Date,Close/Last
8/18/2023,$14.59 
8/17/2023,$14.74 
8/16/2023,$14.63 
8/15/2023,$14.07 
8/14/2023,$14.23 
8/11/2023,$14.51 
8/10/2023,$14.39 
8/9/2023,$14.33 
8/8/2023,$14.33 
8/7/2023,$13.95 
8/4/2023,$14.07 
8/3/2023,$14.00 
8/2/2023,$14.26 
8/1/2023,$14.68 
7/31/2023,$14.89 
7/28/2023,$14.59 
7/27/2023,$14.35 
7/26/2023,$15.40 
7/25/2023,$15.63 
7/24/2023,$15.63 
7/21/2023,$15.46 
7/20/2023,$15.25 
7/19/2023,$15.35 
7/18/2023,$15.48 
7/17/2023,$15.24 
7/14/2023,$14.48 
7/13/2023,$15.17 
7/12/2023,$14.94 
7/11/2023,$14.42 
7/10/2023,$14.51 
7/7/2023,$14.37 
7/6/2023,$14.05 
7/5/2023,$15.15 
7/3/2023,$14.89 
6/30/2023,$14.89 
6/29/2023,$15.19 
6/28/2023,$14.77 
6/27/2023,$14.99 
6/26/2023,$15.40 
6/23/2023,$14.79 
6/22/2023,$14.73 
6/21/2023,$15.45 
6/20/2023,$14.54 
6/16/2023,$14.55 
6/15/2023,$13.45 
6/14/2023,$12.50 
6/13/2023,$12.40 
6/12/2023,$12.39 
6/9/2023,$12.55 
6/8/2023,$12.62 
6/7/2023,$12.53 
6/6/2023,$12.46 
6/5/2023,$11.73 
6/2/2023,$11.48 
6/1/2023,$11.30 
5/31/2023,$10.99 
5/30/2023,$11.28 
5/26/2023,$11.12 
5/25/2023,$11.06 
5/24/2023,$11.38 
5/23/2023,$11.17 
5/22/2023,$10.80 
5/19/2023,$10.81 
5/18/2023,$10.88 
5/17/2023,$11.06 
5/16/2023,$10.80 
5/15/2023,$11.13 
5/12/2023,$11.36 
5/11/2023,$11.75 
5/10/2023,$11.65 
5/9/2023,$11.74 
5/8/2023,$11.52 
5/5/2023,$11.39 
5/4/2023,$10.54 
5/3/2023,$10.62 
5/2/2023,$10.81 
5/1/2023,$10.97 
4/28/2023,$11.12 
4/27/2023,$11.08 
4/26/2023,$11.02 
4/25/2023,$11.12 
4/24/2023,$11.43 
4/21/2023,$11.30 
4/20/2023,$11.48 
4/19/2023,$11.56 
4/18/2023,$12.22 
4/17/2023,$12.28 
4/14/2023,$12.45 
4/13/2023,$12.35 
4/12/2023,$12.54 
4/11/2023,$12.41 
4/10/2023,$12.30 
4/6/2023,$11.16 
4/5/2023,$11.47 
4/4/2023,$11.40 
4/3/2023,$11.65 
3/31/2023,$10.98 
3/30/2023,$11.43 
3/29/2023,$11.23 
3/28/2023,$10.83 
3/27/2023,$10.31 
3/24/2023,$9.62 
3/23/2023,$9.66 
3/22/2023,$9.77 
3/21/2023,$9.82 
3/20/2023,$9.13 
3/17/2023,$9.05 
3/16/2023,$9.52 
3/15/2023,$9.27 
3/14/2023,$9.78 
3/13/2023,$9.91 
3/10/2023,$10.65 
3/9/2023,$11.56 
3/8/2023,$12.05 
3/7/2023,$11.80 
3/6/2023,$12.71 
3/3/2023,$11.93 
3/2/2023,$11.55 
3/1/2023,$12.10 
2/28/2023,$11.77 
2/27/2023,$12.11 
2/24/2023,$11.88 
2/23/2023,$11.71 
2/22/2023,$11.37 
2/21/2023,$11.40 
2/17/2023,$11.41 
2/16/2023,$11.89 
2/15/2023,$11.88 
2/14/2023,$12.09 
2/13/2023,$12.03 
2/10/2023,$11.58 
2/9/2023,$11.28 
2/8/2023,$11.55 
2/7/2023,$11.54 
2/6/2023,$11.48 
2/3/2023,$11.18 
2/2/2023,$11.47 
2/1/2023,$11.75 
1/31/2023,$11.95 
1/30/2023,$11.15 
1/27/2023,$11.54 
